2022-23,Agroecology B.A.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Social-Sciences-Division/Environmental-Studies/Agroecology-BA
Plan One for Incoming Frosh
1st (frosh),MATH 19A,CHEM 1B & CHEM 1M,CHEM 1C & CHEM 1N
1st (frosh),,,BME 21L
2nd (soph),BME 22L,BME 23L,BME 105
2nd (soph),CHEM 8A,CHEM 8B,PHYS 5B & PHYS 5M
2nd (soph),BIOL 20A,PHYS 5A & PHYS 5L,
2nd (soph),,AM 20,
3rd (junior),BIOC 100A,BIOC 100B,AM 115
3rd (junior),BME 110,BME 160,BME 163
3rd (junior),BME 185,STAT 131,
4th (senior),BME 129A,BME 129B,BME 129C
Sample Plan:  Biomolecular  Engineering Concentration (CHEM 8A & CHEM 8B In summer after first year)
Year,Fall,Winter,Spring
1st (frosh),CHEM 1A,MATH 19B,BIOL 20A
1st (frosh),MATH 19A,CHEM 1B & CHEM 1M,CHEM 1C & CHEM 1N
1st (frosh),,,BME 21L
2nd (soph),BME 22L,BME 23L,BME 105
2nd (soph),BIOC 100A,BIOC 100B,PHYS 5B & PHYS 5M
2nd (soph),BME 80G,PHYS 5A & PHYS 5L,
3rd (junior),BME 185,AM 20,
3rd (junior),BME 110,BME 160,BME 163
3rd (junior),AM 10,,
4th (senior),BME 129A,BME 129B,BME 129C
4th (senior),STAT 131,STAT 132,Elective
Transfer planner
Year,Fall,Winter,Spring
1st (junior),BIOC 100A,BIOC 100B,BME 105
1st (junior),BME 80G,BME 110,BME 160
1st (junior),BME 185,AM 20,PHYS 5B & PHYS 5M
1st (junior),BME 22L,BME 23L,
2nd(senior),BME 129A,BME 129B,BME 129C
2nd(senior),STAT 131,STAT 132,BME 163
Sample Plan: Bioinformatics Concentration
Year,Fall,Winter,Spring
1st (frosh),CHEM 1A,CHEM 1B & CHEM 1M,BIOL 20A
1st (frosh),MATH 19A,MATH 19B,CHEM 1C & CHEM 1N
1st (frosh),,,
2nd (soph),CHEM 8A,CHEM 8B,BME 105
2nd (soph),AM 10,CSE 16,BME 160
2nd (soph),BME 80G,,AM 30
3rd (junior),BIOC 100A,CSE 13S,BME 163
3rd (junior),STAT 131,STAT 132,CSE 101
3rd (junior),CSE 30,,CSE 182
4th (senior),BME 205,BME 230A,Elective
4th (senior),BME 110,CSE 185E,CSE 144
Transfer planner
Year,Fall,Winter,Spring
"3rd
			(junior)",BIOC 100A,BME 110,BME 105
"3rd
			(junior)",AM 10,BME 160,BME 163
"3rd
			(junior)",STAT 131,STAT 132,CSE 30
"4th
			(senior)",BME 205,BME 230A,Elective
"4th
			(senior)",BME 80G,CSE 185E,CSE 182
2022-23,Biotechnology B.A.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Baskin-Engineering/Biomolecular-Engineering/Biotechnology-BA
Sample Plan for Incoming Frosh
Year,Fall,Winter,Spring
"1st
            (frosh)",BME 18,CHEM 1A,BIOL 20A
"1st
            (frosh)",,BME 80H,
"1st
            (frosh)",,,
"2nd
            (soph)",STAT 7 & STAT 7L,BME 5,BME 105
"2nd
            (soph)",,CSE 20,
"2nd
            (soph)",,,
"3rd
            (junior)",BME 130,BME 110,BME 160
"3rd
            (junior)",BME 185,METX 100,
"3rd
            (junior)",,,
"4th
            (senior)",BME 132*,BME 175,
"4th
            (senior)",,,
Sample Plan for Transfer Students
year,Fall,Winter,Spring
"3rd
            (junior)",BME 130*,BME 5,BME 80H
"3rd
            (junior)",BME 185,BME 160,BME 105
"3rd
            (junior)",,,
"4th
            (senior)",BME 132*,BME 175,
"4th
            (senior)",BME 140*,BME 110,
2022-23,Business Management Economics B.A.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Social-Sciences-Division/Economics/Business-Management-Economics-BA
Sample Frosh Planner
,Fall,Winter,Spring
1st (frosh),MATH 3 or AM 3,ECON 1,ECON 2
1st (frosh),,AM 11A/ECON 11A,AM 11B/ECON 11B
1st (frosh),,,
2nd (soph),ECON 100A,ECON 100B,ECON 113
2nd (soph),ECON 10A,STAT 17 & STAT 17L,ECON 10B
2nd (soph),,,
3rd (junior),Econ elective,Business Management elective,Business Management elective
3rd (junior),,Computer Course,
3rd (junior),,,
4th (senior),Business Management elective,ECON 104 or ECON 197,Field Study (optional)
4th (senior),Computer course,"ECON 101, ECON 133 or ECON
            135 (Business Management elective)",
Sample Transfer Planner
,Fall,Winter,Spring
3rd (junior),AM 11B/ECON 11B,ECON 100A,ECON 100B
3rd (junior),ECON elective,Computer course,Business Management elective
3rd (junior),ECON 10A,ECON 10B,STAT 17 & STAT 17L
3rd (junior),,,
4th (senior),ECON 113,Business Management elective,Field Study (optional)
4th (senior),Business Management elective,"ECON 101, ECON 133 or ECON
            135 (Business Management elective)",Computer Course
Sample Frosh Planner
,Fall,Winter,Spring
1st (frosh),MATH 3 or AM 3,ECON 1,ECON 2
1st (frosh),Writing course,AM 11A/ECON 11A,AM 11B/ECON 11B
1st (frosh),,,
2nd (soph),ECON 100A,ECON 100B,ECON 113
2nd (soph),ECON 10A,ECON 10B,ECON 110
2nd (soph),,STAT 17 & STAT 17L,Computer Literacy course
3rd (junior),ECON 111A,ECON 111B,ECON 111C
3rd (junior),ECON elective,ECON 112,ECON 116
3rd (junior),,Ethics course (optional)*,
4th (senior),ECON 117B,ECON 117A,
4th (senior),Field Study internship (optional),ECON 104 or ECON 197,Field Study (optional)
Sample Transfer Planner
,Fall,Winter,Spring
3rd (junior),AM 11B/ECON 11B,ECON 100A,ECON 100B
3rd (junior),ECON 111A,ECON 111B,ECON 111C
3rd (junior),Computer literacy course,Ethics course (optional)*,STAT 17 & STAT 17L
4th (senior),ECON 113,"ECON 101, ECON 133 or ECON 135",ECON 110
4th (senior),ECON 117B,ECON 117A,ECON 116
2022-23,Chemistry B.A.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Physical-and-Biological-Sciences-Division/Chemistry-and-Biochemistry/Chemistry-BA
,Fall,Winter,Spring
1st (frosh),MATH 11A or MATH 19A,MATH 11B or MATH 19B,"CHEM 1C and CHEM 1N
            (not required if CHEM 4
            series completed)"
1st (frosh),"CHEM 1A or
CHEM 1B & CHEM 1M or
CHEM 4A and CHEM 1M","CHEM 1B and CHEM 1M or
CHEM 1A or
CHEM 4B and CHEM 1N",
1st (frosh),,,
2nd (soph),CHEM 8A & CHEM 8L,CHEM 8B & CHEM 8M,CHEM 110 & CHEM 110L
2nd (soph),PHYS 6A & PHYS 6L,MATH 22,PHYS 6B & PHYS 6M
2nd (soph),,,
3rd (junior),CHEM 163A,CHEM 163B,CHEM elective
3rd (junior),PHYS 6C & PHYS 6N,CHEM 151A & CHEM 151L,
3rd (junior),,,
4th (senior),"CHEM elective or 
CHEM 146A*",CHEM 164,"CHEM elective or 
CHEM 146B/CHEM 146C*"
4th (senior),,,
Sample Transfer Two-Year Planner
,Fall,Winter,Spring
1st (junior),CHEM 163A,CHEM 163B,CHEM 110 & CHEM 110L
1st (junior),PHYS 6C & PHYS 6N,CHEM 151A & CHEM 151L,
1st (junior),,,
2nd (senior),"CHEM elective 
            or CHEM 146A*",CHEM 164,"CHEM elective or 
CHEM 146B/CHEM 146C*"
2nd (senior),,,
2022-23,Chemistry B.S.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Physical-and-Biological-Sciences-Division/Chemistry-and-Biochemistry/Chemistry-BS
Sample Four-Year Planner
,Fall,Winter,Spring
1st (frosh),MATH 11A or MATH 19A,MATH 11B or MATH 19B,"CHEM 1C & 1N
            (not required if CHEM 4 series completed)"
1st (frosh),"CHEM 1A or
CHEM 1B & 1M or
CHEM 4A & 1M","CHEM 1B & 1M or
CHEM 1A or 
CHEM 4B & 1N",MATH 21
1st (frosh),,,
2nd (soph),CHEM 8A & CHEM 8L,CHEM 8B & CHEM 8M,CHEM 110 & CHEM 110L
2nd (soph),PHYS 6A & PHYS 6L,MATH 22,PHYS 6B & PHYS 6M
2nd (soph),,,
3rd (junior),CHEM 163A,CHEM 163B,CHEM 163C
3rd (junior),PHYS 6C & PHYS 6N,CHEM 151A & CHEM 151L,CHEM 103
3rd (junior),,,
4th(senior),CHEM 146A*,CHEM 164,CHEM elective
4th(senior),CHEM elective,,CHEM 146B/CHEM 146C*
Sample Transfer Two-Year Planner
,Fall,Winter,Spring
1st (junior),CHEM 163A,CHEM 163B,CHEM 163C
1st (junior),PHYS 6C & PHYS 6N,CHEM 151A & CHEM 151L,1st (junior)
1st (junior),,CHEM 110 & CHEM 110L,1st (junior)
1st (junior),,,1st (junior)
1st (junior),,,2nd (senior)
2nd (senior),CHEM 164,CHEM elective,2nd (senior)
2nd (senior),MATH 21,CHEM 103,2nd (senior)
"This is the most general academic plan for this major. If needed, the plan can be rearranged."
,Fall,Winter,Spring
1st (frosh),MATH 11A or MATH 19A,MATH 11B or MATH 19B,BIOL 20A
1st (frosh),"CHEM 1A or
CHEM 1B & 1M or
CHEM 4A & 1M","CHEM 1B & 1M or
CHEM 1A or
CHEM 4B & 1N","CHEM 1C & 1N
            (not required if CHEM 4 series completed)"
1st (frosh),,,
2nd (soph),CHEM 8A & CHEM 8L,CHEM 8B & CHEM 8M,CHEM 110 & CHEM 110L
2nd (soph),BIOE 20B,MATH 22,MATH 21
2nd (soph),,,
3rd (junior),BIOC 100A,BIOC 100B,BIOC 100C
3rd (junior),PHYS 6A & PHYS 6L,PHYS 6B & PHYS 6M,PHYS 6C & PHYS 6N
3rd (junior),,,
4th (senior)*,CHEM 163A,CHEM 163B,CHEM 163C
4th (senior)*,,CHEM 151A & CHEM 151L,*BIOC 110L
Sample Transfer Two-Year Planner
,Fall,Winter,Spring
1st (junior),BIOC 100A,BIOC 100B,BIOC 100C
1st (junior),,,CHEM 110 & CHEM 110L
1st (junior),,,
1st (junior),Fall,Winter,Spring
2nd (senior),CHEM 163A,CHEM 163B,CHEM 163C
2nd (senior),,CHEM 151A & CHEM 151L,*BIOC 110L
2022-23,Classical Studies B.A.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Humanities-Division/History/Classical-Studies-BA
Sample Four-Year Plan
,Fall,Winter,Spring
1st (frosh),GREE 1 or LATN 1,GREE 2 or LATN 2,LIT 184A or LIT 186A
1st (frosh),CLST lower-division survey,,
1st (frosh),,,
2nd (soph),LIT 184-series/LIT 186-series,LIT 184-series/LIT 186-series,Upper-division elective
2nd (soph),,,
2nd (soph),,,
3rd (junior),Upper-division elective,Upper-division elective,Upper-division elective
3rd (junior),,,
3rd (junior),,,
4th (senior),Upper-division elective,Upper-division elective,CLST 197F (2 credits)
4th (senior),,,
Sample Transfer Plan
,Fall,Winter,Spring
1st (junior),GREE 1 or LATN 1,GREE 2 or LATN 2,LIT 184A or LIT 186A
1st (junior),CLST lower-division survey,Upper-division elective,Upper-division elective
1st (junior),Upper-division elective,,
2nd (senior),LIT 184-series/LIT 186-series,LIT 184-series/LIT 186-series,Upper-division elective
2nd (senior),Upper-division elective,Upper-division elective,CLST 197F (2 credits)
2022-23,Cognitive Science B.S.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Social-Sciences-Division/Psychology/Cognitive-Science-BS
Frosh Plan One
Year,Fall,Winter,Spring
1st (frosh),MATH 2,MATH 3,Calculus
1st (frosh),PSYC 20,Programming,
1st (frosh),,,
2nd (soph),Interdisciplinary prerequisite,PSYC 2,PSYC 100
2nd (soph),,Interdisciplinary prerequisite,
2nd (soph),,,
3rd (junior),Cognitive core,Cognitive core,Cognitive core
3rd (junior),Interdisciplinary elective,Interdisciplinary elective (UD),Interdisciplinary elective
3rd (junior),Cognitive elective,,
4th (senior),Interdisciplinary elective,Senior Seminar,Cognitive elective
Senior Seminar,,,
Frosh Plan Two
Year,Fall,Winter,Spring
1st (frosh),MATH 2,MATH 3,Calculus
1st (frosh),PSYC 20,Programming,
1st (frosh),,,
2nd (soph),Interdisciplinary prerequisite,PSYC 2,PSYC 100
2nd (soph),,Interdisciplinary prerequisite,Interdisciplinary prerequisite
2nd (soph),,,
3rd (junior),Cognitive core,Cognitive core,Cognitive core
3rd (junior),Interdisciplinary prerequisite,Cognitive elective,
3rd (junior),,,
4th (senior),Cognitive elective,Interdisciplinary elective (UD),Interdisciplinary elective
4th (senior),Senior Seminar,Interdisciplinary elective,
Transfer Plan
Year,Fall,Winter,Spring
3rd (junior),PSYC 20,Cognitive core,Cognitive core
3rd (junior),PSYC 100,Interdisciplinary elective,Interdisciplinary elective
3rd (junior),,,
4th (senior),Cognitive elective,Cognitive core,Senior Seminar
Senior Seminar,Interdisciplinary elective,Cognitive elective,"Interdisciplinary elective
            (upper-division)"
2022-23,Community Studies B.A.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Social-Sciences-Division/Community-Studies/Community-Studies-BA
Suggested Major Planning Table
,Fall,Winter,Spring,Summer
1st (frosh),CMMU 10,,,
1st (frosh),,,,
1st (frosh),,,,
2nd (soph),Topical course 1,,Topical course 2,
2nd (soph),,,,
2nd (soph),,,,
3rd (junior),Topical course 3,CMMU 101,CMMU 102,"CMMU 105
            (15 credits)"
3rd (junior),,,DC REQ part 1,
3rd (junior),,,,
4th (senior),"CMMU 105
            (15 credits)",CMMU 107,,
4th (senior),,DC REQ part 2,,
Sample Transfer Planner
,Fall,Winter,Spring,Summer
3rd (junior),CMMU 10,CMMU 101,CMMU 102,"CMMU 105
            (15 credits)"
3rd (junior),Topical course 1,Topical course 2,DC REQ part 1,
3rd (junior),,,Topical course 3,
4th (senior),"CMMU 105
            (15 credits)",CMMU 107,,
4th (senior),,DC REQ part 2,,
2022-23,Computer Engineering B.S.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Baskin-Engineering/Computer-Science-and-Engineering/Computer-Engineering-BS
,Fall,Winter,Spring
1st (frosh),MATH 19A,MATH 19B,AM 30
1st (frosh),CSE 30,PHYS 5A & PHYS 5L,CSE 12
1st (frosh),,,
2nd (soph),AM 10,AM 20,CSE 120
2nd (soph),PHYS 5C & PHYS 5N,CSE 13S,CSE 101
2nd (soph),CSE 16,,PHYS 5B & PHYS 5M
3rd (junior),ECE 101 & ECE 101L,CSE 107,CSE 185E
3rd (junior),Concentration course,CSE 100 &. 100L,CSE 121
3rd (junior),,,Concentration course
4th (senior),Concentration course,Capstone course,Capstone course
4th (senior),ECE 103 & ECE 103L,Concentration course,Concentration course
Plan Two for Entering Frosh
,Fall,Winter,Spring
1st (frosh),MATH 3,MATH 19A,MATH 19B
1st (frosh),CSE 20,CSE 12,CSE 30
1st (frosh),,,
